id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
302329470,2025-07-28,Rudbeckia laciniata,rudbekia strapatá,Plantae,"090 05 Medvedie, Slovensko",49.4089939728,21.6305823997,research,2,Martina Hajdukova,https://www.inaturalist.org/observations/302329470?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544856549/small.jpg
301801539,2025-07-28,Sedum sexangulare,rozchodník šesťradový,Plantae,"Šarbov 16, 090 05 Šarbov, Slovensko",49.4281194444,21.6291277778,research,2,Benjamín Jarčuška,https://www.inaturalist.org/observations/301801539?locale=sk,https://static.inaturalist.org/photos/543870204/small.jpg
301799899,2025-07-28,Reynoutria,krídlatka,Plantae,"Šarbov 15, 090 05 Šarbov, Slovensko",49.4263176254,21.6311087832,needs_id,3,Benjamín Jarčuška,https://www.inaturalist.org/observations/301799899?locale=sk,https://static.inaturalist.org/photos/543869215/small.jpg
301909215,2025-07-28,Parmelioideae,diskovkovaté,Fungi,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301909215?locale=sk,https://static.inaturalist.org/photos/544067475/small.jpg
301908818,2025-07-28,Lecanora thysanophora,,Fungi,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/301908818?locale=sk,https://static.inaturalist.org/photos/544066723/small.jpg
301773431,2025-07-28,Ulmus,brest,Plantae,"Svidník, SK-PV, SK",49.4201164244,21.6115360258,needs_id,2,Martin Hromada,https://www.inaturalist.org/observations/301773431?locale=sk,https://static.inaturalist.org/photos/543819428/small.jpg
301804815,2025-07-28,Machimus rusticus,,Insecta,"090 05 Šarbov, Slovensko",49.4188960704,21.6271528602,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/301804815?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543876173/small.jpg
301773407,2025-07-28,Salvia glutinosa,šalvia lepkavá,Plantae,"Svidník, SK-PV, SK",49.3951683042,21.6113319394,research,1,Martin Hromada,https://www.inaturalist.org/observations/301773407?locale=sk,https://static.inaturalist.org/photos/543819364/small.jpg
301805311,2025-07-28,Pastinaca sativa,paštrnák siaty,Plantae,"Medvedie 13, 090 05 Medvedie, Slovensko",49.4067690198,21.633098647,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/301805311?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543876935/small.jpg
301805181,2025-07-28,Cirsium oleraceum,pichliač zelinový,Plantae,"Medvedie 13, 090 05 Medvedie, Slovensko",49.4071257084,21.6329145804,research,2,Martina Hajdukova,https://www.inaturalist.org/observations/301805181?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543876821/small.jpg
301805136,2025-07-28,Lythrum salicaria,vrbica vŕbolistá,Plantae,"Medvedie 13, 090 05 Medvedie, Slovensko",49.4072251881,21.6315717995,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/301805136?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543876540/small.jpg
301805052,2025-07-28,Stellaria,hviezdica,Plantae,"Medvedie 34, 090 05 Medvedie, Slovensko",49.4058263458,21.6342845187,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/301805052?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/543876468/small.jpg
301584983,2025-07-27,Centaurea jacea,nevädza lúčna,Plantae,"Cesta 3543, Medvedie, Prešovský kraj, SK",49.4054427841,21.6338685671,needs_id,0,Jaroslav Ilek,https://www.inaturalist.org/observations/301584983?locale=sk,https://static.inaturalist.org/photos/543459792/small.jpg
301504216,2025-07-27,Arion vulgaris,slizovec iberský,Mollusca,"Kapišová 39, 090 01 Kapišová, Slovensko",49.3448861111,21.5929666667,needs_id,0,Benjamín Jarčuška,https://www.inaturalist.org/observations/301504216?locale=sk,https://static.inaturalist.org/photos/543311981/small.jpg
301461507,2025-07-27,Astacus astacus,rak riečny,Animalia,Slovakia,49.3547300755,21.5224743886,research,1,Martin Hromada,https://www.inaturalist.org/observations/301461507?locale=sk,https://static.inaturalist.org/photos/543234252/small.jpg
301460110,2025-07-27,Clinopodium vulgare,jarva obyčajná,Plantae,"Kružlová, Prešovský kraj, SK",49.3609783333,21.59313,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/301460110?locale=sk,https://static.inaturalist.org/photos/543231735/small.jpg
301454002,2025-07-27,Daucus carota,mrkva obyčajná,Plantae,"Kružlová, Prešovský kraj, SK",49.360900959,21.5912269335,needs_id,0,Jaroslav Ilek,https://www.inaturalist.org/observations/301454002?locale=sk,https://static.inaturalist.org/photos/543219099/small.jpg
301449991,2025-07-27,Upupa epops,dudok chochlatý,Aves,"089 01 Svidník, Slovensko",49.3265874,21.5930823,research,2,Martin Hromada,https://www.inaturalist.org/observations/301449991?locale=sk,https://static.inaturalist.org/photos/543212217/small.jpg
301443230,2025-07-27,Erigeron annuus,hviezdnik ročný,Plantae,"Medvedie 34, 090 05 Medvedie, Slovensko",49.4051777778,21.6361694444,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/301443230?locale=sk,https://static.inaturalist.org/photos/543198926/small.jpg
302611994,2025-07-27,Laetiporus sulphureus,Sírovec obyčajný,Fungi,"Medvedie 38, 090 05 Medvedie, Slovensko",49.4074222222,21.6315611111,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/302611994?locale=sk,https://static.inaturalist.org/photos/545379633/small.jpg
